workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file,source_root
rag,on,3,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,25.63890442252159,371.45030684769154,340.522987768054,20.030763986356117,49.15858363172204,True,1.0,stop,rag-apc-on-rep-3.json,baseline-269138-rag-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,off,1,periodic-00,0,cold,cold_start,230,0,0.0,60.07843650877476,1716.5052611380816,1193.2168323546648,20.224014107706182,47.87379438080179,False,0.25,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,1,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,61.637500301003456,1254.0917228907347,1186.9931602850556,20.118528140424672,48.05264029944476,False,0.5,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,1,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,62.14689649641514,1294.289411045611,1225.6046058610082,20.091878784606692,48.14593490009497,False,0.75,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,1,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,61.94774806499481,1294.7173863649368,1226.150020956993,20.10082001568841,48.13299230156624,False,0.75,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,1,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,62.02309858053923,1294.1914610564709,1225.5753446370363,20.091399092410434,48.15165809386069,False,0.75,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,1,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,61.65125872939825,1294.6570301428437,1226.0622940957546,20.099381870422206,48.14735378374823,False,0.75,stop,periodic_agent-apc-off-rep-1.json,baseline-269138-periodic_agent-apc-off-rep-1.jsonl,baseline-269138
periodic_agent,off,2,periodic-00,0,cold,cold_start,230,0,0.0,59.82381943613291,1407.7518954873085,1192.7088238298893,20.21540379372694,47.9029431468931,False,0.25,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,2,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,61.04571279138327,1252.9744198545814,1186.3666949793696,20.107910084396092,48.09956965814203,False,0.5,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,2,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,61.261472292244434,1294.0900204703212,1225.7928028702736,20.094963981479893,48.172016671302515,False,0.75,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,2,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,61.76017876714468,1294.7028372436762,1226.0007224977016,20.09837249996232,48.145583500091696,False,0.75,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
