target_tokens,edit_radius,quality_scenario,position,repetitions,valid_repetitions,invalid_repetitions,valid_measurement_rate,executed_repetitions,execution_reasons,mean_selected_reuse_rows,mean_reused_rows,mean_span_count,mean_shadow_forward_ms,mean_active_preparation_ms,mean_active_copy_ms,mean_active_forward_ms,mean_forward_delta_ms,mean_selector_overhead_ms,mean_active_vs_native_ttft_ms,mean_ttft_delta_ms,native_quality_pass_rate,shadow_quality_pass_rate,reference_quality_pass_rate,active_quality_pass_rate,shadow_native_exact_match_rate,active_shadow_exact_match_rate,active_native_exact_match_rate,mean_active_shadow_word_similarity,mean_active_native_word_similarity
256,2,pointer,late,3,3,0,1.0,3,eligible,63.0,63.0,2.0,33.11343002319336,0.7286379113793373,1.078272024790446,40.402261098225914,7.288831075032552,15.098515897989273,24.60432332009077,9.505807422101498,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
256,2,rule,early,3,3,0,1.0,0,no_reusable_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185873049000899,0.7508620619773865,0.5649890129764875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
256,2,rule,middle,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
256,2,rule,late,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,0,direct,early,3,3,0,1.0,3,eligible,975.0,975.0,2.0,221.58643595377603,1.925878847638766,3.492522637049357,37.5654411315918,-184.02099482218424,18.00701084236304,-163.38231321424246,-181.3893240566055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,direct,middle,3,3,0,1.0,3,eligible,655.0,655.0,2.0,160.91238403320312,0.97617506980896,2.459648052851359,38.0675417582194,-122.84484227498372,18.168594998617966,-103.02940973391135,-121.19800473252933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,direct,late,3,3,0,1.0,3,eligible,319.0,319.0,2.0,85.7555643717448,0.7752484331528345,1.3905920187632244,40.60569636027018,-45.14986801147461,17.50516581038634,-26.196877161661785,-43.702042972048126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,composed,early,3,3,0,1.0,3,eligible,975.0,975.0,2.0,221.88748677571616,1.973888836801052,3.5174400011698403,37.75795237223307,-184.12953440348306,18.378943515320618,-162.9258639489611,-181.3048074642817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,composed,middle,3,3,0,1.0,3,eligible,655.0,655.0,2.0,161.12093607584634,1.016242429614067,2.432682673136393,37.951829274495445,-123.1691068013509,17.62680585185687,-103.6053616553545,-121.23216750721137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,composed,late,3,3,0,1.0,3,eligible,335.0,335.0,2.0,85.71119181315105,0.7217349484562874,1.4107306400934856,38.53039042154948,-47.18080139160156,15.819729926685492,-29.571622610092163,-45.39135253677765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict,early,3,3,0,1.0,3,eligible,960.0,960.0,2.0,222.39402770996094,1.926749013364315,3.4648746649424234,40.840874989827476,-181.55315272013345,18.394332999984425,-159.90039488921562,-178.29472788920006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict,middle,3,3,0,1.0,3,eligible,640.0,640.0,2.0,161.70325215657553,0.9532008940974871,2.429269313812256,43.212117513020836,-118.49113464355469,16.671526556213696,-99.58949623008569,-116.26102278629939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict,late,3,3,0,1.0,3,eligible,336.0,336.0,2.0,87.22022247314453,0.7760009417931238,1.4284799893697102,41.82664489746094,-45.393577575683594,16.681148670613766,-26.805988202492397,-43.48713687310616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_3,early,3,3,0,1.0,3,eligible,975.0,975.0,2.0,222.47492472330728,1.9375520447889965,3.5123199621836343,37.71801630655924,-184.75690841674805,17.488255475958187,-164.02514496197304,-181.5134004379312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_3,middle,3,3,0,1.0,3,eligible,687.0,687.0,2.0,162.25040690104166,1.1010076850652695,2.5791145960489907,38.13683191935221,-124.11357498168945,16.471050990124542,-105.2251486107707,-121.69619960089524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_3,late,3,3,0,1.0,3,eligible,399.0,399.0,2.0,110.62886301676433,0.7415212069948515,1.6366933186848958,38.412970225016274,-72.21589279174805,16.535214769343536,-53.02538877973954,-69.56060354908307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_5,early,3,3,0,1.0,3,eligible,975.0,975.0,2.0,222.58687845865884,1.981487808128198,3.5229012966156006,37.65009053548177,-184.9367879231771,18.09521329899629,-164.1602050513029,-182.2554183502992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_5,middle,3,3,0,1.0,3,eligible,703.0,703.0,2.0,164.03046671549478,1.1067272474368413,2.6258773803710938,38.11635208129883,-125.91411463419597,17.175692754487198,-106.09469655901194,-123.27038931349914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,conflict_5,late,3,3,0,1.0,3,eligible,431.0,431.0,2.0,111.90579223632812,0.7044514641165733,1.7175893783569336,38.354262034098305,-73.55153020222981,15.895163329939047,-56.10589186350504,-72.00105519344409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0,pointer,early,3,3,0,1.0,3,eligible,975.0,975.0,2.0,222.8340047200521,1.9894118110338848,3.5051519870758057,37.56475702921549,-185.26924769083658,17.838858378430206,-165.2055180942019,-183.04437647263208,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,0,pointer,middle,3,3,0,1.0,3,eligible,671.0,671.0,2.0,162.6047159830729,1.083221286535263,2.4866134325663247,37.99859110514323,-124.60612487792969,17.199695731202763,-105.48778809607029,-122.68748382727306,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,0,pointer,late,3,3,0,1.0,3,eligible,351.0,351.0,2.0,87.48168690999348,0.7098019123077393,1.462272008260091,38.663168589274086,-48.8185183207194,17.803692258894444,-30.411509796977043,-48.21520205587149,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1024,0,rule,early,3,3,0,1.0,3,eligible,304.0,304.0,20.0,222.8094278971354,5.046990389625232,2.1193386713663735,471.82847086588544,249.01904296875,17.244468132654827,272.6123472675681,255.3678791349133,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,0,rule,middle,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,0,rule,late,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,1,direct,early,3,3,0,1.0,3,eligible,959.0,959.0,2.0,221.15532938639322,1.9403217981259029,3.513685385386149,39.73666127522787,-181.41866811116537,16.663856493930023,-161.57048381865025,-178.23434031258026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,direct,middle,3,3,0,1.0,3,eligible,639.0,639.0,2.0,160.53998819986978,1.0497281327843666,2.453162670135498,40.09130605061849,-120.4486821492513,17.749825802942116,-100.74399194369714,-118.49381774663925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,direct,late,3,3,0,1.0,3,eligible,303.0,303.0,2.0,85.65179951985677,0.7804554576675097,1.377962629000346,41.065130869547524,-44.58666865030924,16.295708095033962,-26.428888862331707,-42.72459695736567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,composed,early,3,3,0,1.0,3,eligible,959.0,959.0,2.0,221.60042317708334,2.001815475523472,3.497984011967977,39.5772590637207,-182.02316411336264,17.668370467921097,-160.55536611626545,-178.22373658418655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,composed,middle,3,3,0,1.0,3,eligible,639.0,639.0,2.0,161.259521484375,1.0978470866878827,2.4087892373402915,40.01177724202474,-121.24774424235027,17.884640643994015,-101.54563219596942,-119.43027283996344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,composed,late,3,3,0,1.0,3,eligible,319.0,319.0,2.0,85.45553080240886,0.7770014926791191,1.4390613238016765,40.55859247843424,-44.89693832397461,15.881153754889965,-27.37433525423209,-43.25548900912205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict,early,3,3,0,1.0,3,eligible,944.0,944.0,2.0,221.70794677734375,1.8758426109949748,3.608575979868571,43.135659535725914,-178.57228724161783,16.437117320795853,-158.8553056741754,-175.29242299497128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict,middle,3,3,0,1.0,3,eligible,624.0,624.0,2.0,161.84798177083334,1.0438316191236179,2.3900159994761148,43.79033533732096,-118.05764643351237,16.842658321062725,-99.53334741294384,-116.37600573400657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict,late,3,3,0,1.0,3,eligible,320.0,320.0,2.0,87.05672454833984,0.7586112866799036,1.4131199916203816,43.77804819742838,-43.27867635091146,16.74898558606704,-25.032678929467995,-41.781664515535034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_3,early,3,3,0,1.0,3,eligible,959.0,959.0,2.0,222.31278483072916,1.9369016711910565,3.4583892822265625,39.465301513671875,-182.84748331705728,17.902141126493614,-161.9956207772096,-179.8977619037032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_3,middle,3,3,0,1.0,3,eligible,671.0,671.0,2.0,162.07257588704428,1.1361697688698769,2.541909376780192,39.94043731689453,-122.13213857014973,16.478172813852627,-103.3828913544615,-119.86106416831414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_3,late,3,3,0,1.0,3,eligible,383.0,383.0,2.0,110.88725280761719,0.7565915584564209,1.5991466442743938,40.27392069498698,-70.6133321126302,16.236464492976665,-52.557624876499176,-68.79408936947584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_5,early,3,3,0,1.0,3,eligible,959.0,959.0,2.0,221.5942840576172,1.9825352355837822,3.554645299911499,39.65542348225912,-181.93886057535806,16.09907454500596,-162.2648173943162,-178.36389193932214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_5,middle,3,3,0,1.0,3,eligible,687.0,687.0,2.0,163.96902465820312,1.1678173517187436,2.5804800192515054,39.937705993652344,-124.03131866455078,16.670726239681244,-105.04667709271114,-121.71740333239238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,conflict_5,late,3,3,0,1.0,3,eligible,415.0,415.0,2.0,112.28194173177083,0.7509946202238401,1.7008639971415203,40.246612548828125,-72.0353291829427,16.481229414542515,-53.421820203463234,-69.90304961800575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,1,pointer,early,3,3,0,1.0,3,eligible,959.0,959.0,2.0,222.44181315104166,1.9946989292899768,3.5444053014119468,39.741780598958336,-182.70003255208334,17.891920792559784,-161.72079493602118,-179.61271572858095,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,1,pointer,middle,3,3,0,1.0,3,eligible,655.0,655.0,2.0,161.74796549479166,1.070938693980376,2.5248427391052246,40.08038330078125,-121.66758219401042,16.321400180459023,-102.48408031960328,-118.8054805000623,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,1,pointer,late,3,3,0,1.0,3,eligible,335.0,335.0,2.0,87.43014272054036,0.7653223971525828,1.45851735273997,40.56883239746094,-46.86131032307943,17.128393054008484,-28.172440516451996,-45.300833570460476,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1024,1,rule,early,3,3,0,1.0,0,no_reusable_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7641858731706938,2.095020686586698,1.3308348134160042,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,1,rule,middle,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,1,rule,late,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,2,direct,early,3,3,0,1.0,3,eligible,943.0,943.0,2.0,221.74514770507812,1.9034047921498616,3.4505386352539062,40.23534901936849,-181.50979868570963,17.657306045293808,-161.31671518087387,-178.97402122616768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,direct,middle,3,3,0,1.0,3,eligible,623.0,623.0,2.0,161.10967508951822,1.0863933712244034,2.4282453060150146,40.63436762491862,-120.47530746459961,16.430917506416638,-101.36612815161546,-117.7970456580321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,direct,late,3,3,0,1.0,3,eligible,287.0,287.0,2.0,85.77262878417969,0.7694050048788389,1.3434880177179973,43.09196853637695,-42.680660247802734,16.41764957457781,-24.36486693720023,-40.782516511778034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,composed,early,3,3,0,1.0,3,eligible,943.0,943.0,2.0,221.47140502929688,2.127214955786864,3.508906602859497,40.15616099039713,-181.31524403889975,16.21682879825433,-161.73221450299025,-177.9490433012446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,composed,middle,3,3,0,1.0,3,eligible,623.0,623.0,2.0,161.19671122233072,1.0792333632707596,2.453162670135498,40.67054875691732,-120.5261624654134,16.488885196546715,-101.3481505215168,-117.83703571806352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,composed,late,3,3,0,1.0,3,eligible,303.0,303.0,2.0,85.8593266805013,0.7722284644842148,1.4138026634852092,41.08185704549154,-44.777469635009766,17.055224316815536,-26.75731449077527,-43.812538807590805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict,early,3,3,0,1.0,3,eligible,928.0,928.0,2.0,222.25647481282553,1.9615953788161278,3.388757308324178,43.376885732014976,-178.87958908081055,17.274823660651844,-158.59175939112902,-175.86658305178085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict,middle,3,3,0,1.0,3,eligible,608.0,608.0,2.0,161.89781188964844,1.0461748267213504,2.3859200477600098,45.84584426879883,-116.05196762084961,16.445588630934555,-97.3634176577131,-113.80900628864765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
