target_prompt_tokens,edit_position,request_role,cached_tokens_on,cache_hit_fraction_on,ttft_off_ms,ttft_on_ms,ttft_delta_ms,ttft_reduction_fraction,ttft_speedup,quality_passed_off,quality_passed_on,off_result_file,on_result_file
256,early,base,0,0.0,59.426852501928806,59.32318512350321,0.10366737842559814,0.0017444534593554896,1.0017475018950817,True,True,tokens-256-early-apc-off-rep-1.json,tokens-256-early-apc-on-rep-1.json
256,early,edited,32,0.125,60.803499072790146,61.510288156569004,-0.7067890837788582,-0.01162415148070236,0.9885094167990274,True,True,tokens-256-early-apc-off-rep-1.json,tokens-256-early-apc-on-rep-1.json
256,middle,base,0,0.0,59.74029470235109,59.56096574664116,0.17932895570993423,0.0030018090235982165,1.0030108470113255,True,True,tokens-256-middle-apc-off-rep-1.json,tokens-256-middle-apc-on-rep-1.json
256,middle,edited,96,0.375,61.645129695534706,50.026070326566696,11.61905936896801,0.18848300630324802,1.2322600854538364,True,True,tokens-256-middle-apc-off-rep-1.json,tokens-256-middle-apc-on-rep-1.json
256,late,base,0,0.0,59.5220560207963,59.52819250524044,-0.006136484444141388,-0.0001030959757505247,0.999896914651934,True,True,tokens-256-late-apc-off-rep-1.json,tokens-256-late-apc-on-rep-1.json
256,late,edited,160,0.625,61.210512183606625,35.83719953894615,25.373312644660473,0.41452540976214775,1.7080160551352783,True,True,tokens-256-late-apc-off-rep-1.json,tokens-256-late-apc-on-rep-1.json
1024,early,base,0,0.0,232.12751559913158,231.366079300642,0.7614362984895706,0.0032802500665389416,1.003291045518821,True,True,tokens-1024-early-apc-off-rep-1.json,tokens-1024-early-apc-on-rep-1.json
1024,early,edited,32,0.03125,234.155117534101,230.50999268889427,3.6451248452067375,0.015567137219095297,1.0158133051096243,True,True,tokens-1024-early-apc-off-rep-1.json,tokens-1024-early-apc-on-rep-1.json
1024,middle,base,0,0.0,231.2384583055973,230.04048131406307,1.197976991534233,0.005180699613344703,1.0052076790341031,True,True,tokens-1024-middle-apc-off-rep-1.json,tokens-1024-middle-apc-on-rep-1.json
1024,middle,edited,352,0.34375,232.49726369976997,169.29493937641382,63.20232432335615,0.2718411533865234,1.3733267193700978,True,True,tokens-1024-middle-apc-off-rep-1.json,tokens-1024-middle-apc-on-rep-1.json
1024,late,base,0,0.0,230.81019055098295,231.24681506305933,-0.43662451207637787,-0.001891703789308788,0.9981118679971557,True,True,tokens-1024-late-apc-off-rep-1.json,tokens-1024-late-apc-on-rep-1.json
1024,late,edited,672,0.65625,233.20231214165688,91.38693194836378,141.8153801932931,0.6081216729409976,2.55181246563155,True,True,tokens-1024-late-apc-off-rep-1.json,tokens-1024-late-apc-on-rep-1.json
4096,early,base,0,0.0,967.755377292633,967.2199003398418,0.535476952791214,0.0005533184990294244,1.0005536248298894,True,True,tokens-4096-early-apc-off-rep-1.json,tokens-4096-early-apc-on-rep-1.json
4096,early,edited,32,0.0078125,972.5415660068393,972.7178551256657,-0.1762891188263893,-0.00018126641059694264,0.9998187664409598,True,True,tokens-4096-early-apc-off-rep-1.json,tokens-4096-early-apc-on-rep-1.json
4096,middle,base,0,0.0,967.2353127971292,966.8424976989627,0.39281509816646576,0.0004061215435057797,1.0004062865452246,True,True,tokens-4096-middle-apc-off-rep-1.json,tokens-4096-middle-apc-on-rep-1.json
4096,middle,edited,1376,0.3359375,971.0387326776981,688.4742304682732,282.564502209425,0.29099199928949926,1.4104213196436353,True,True,tokens-4096-middle-apc-off-rep-1.json,tokens-4096-middle-apc-on-rep-1.json
4096,late,base,0,0.0,965.812411159277,966.5747275575995,-0.7623163983225822,-0.0007893006856347644,0.9992113218185945,True,True,tokens-4096-late-apc-off-rep-1.json,tokens-4096-late-apc-on-rep-1.json
4096,late,edited,2720,0.6640625,971.3511560112238,355.1476215943694,616.2035344168544,0.6343777228281121,2.7350631031978274,True,True,tokens-4096-late-apc-off-rep-1.json,tokens-4096-late-apc-on-rep-1.json
