workload,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens_on,cache_hit_fraction_on,ttft_off_ms,ttft_on_ms,ttft_delta_ms,ttft_reduction_fraction,ttft_speedup,quality_passed_off,quality_passed_on,quality_score_off,quality_score_on,quality_score_delta
rag,1,rag-00,0,cold,cold_start,167,0,0.0,50.944686867296696,50.932508893311024,0.012177973985671997,0.0002390430628692213,1.0002391002181177,True,True,1.0,1.0,0.0
rag,1,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,52.100771106779575,35.96208896487951,16.138682141900063,0.30975898818894887,1.4487693180910892,True,True,1.0,1.0,0.0
rag,1,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,54.29958272725344,50.49756169319153,3.8020210340619087,0.07001934164318432,1.075291180535842,True,True,1.0,1.0,0.0
rag,1,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,52.5025287643075,27.25004218518734,25.25248657912016,0.48097657719464776,1.9266953205983286,True,True,1.0,1.0,0.0
rag,2,rag-00,0,cold,cold_start,167,0,0.0,50.96077173948288,51.10820010304451,-0.14742836356163025,-0.0028929774516622394,0.9971153677244672,True,True,1.0,1.0,0.0
rag,2,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,51.55471991747618,35.7299605384469,15.824759379029274,0.30695073902758124,1.442898876476541,True,True,1.0,1.0,0.0
rag,2,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,54.71647623926401,50.46276282519102,4.25371341407299,0.07774099698000228,1.0842941047205115,True,True,1.0,1.0,0.0
rag,2,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,53.1834838911891,27.18146424740553,26.00201964378357,0.48891155188295815,1.9566084964045107,True,True,1.0,1.0,0.0
rag,3,rag-00,0,cold,cold_start,167,0,0.0,50.17264001071453,50.962721928954124,-0.7900819182395935,-0.015747266200679674,0.9844968657808147,True,True,1.0,1.0,0.0
rag,3,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,52.09074169397354,37.805864587426186,14.284877106547356,0.2742306337365896,1.3778481794408783,True,True,1.0,1.0,0.0
