workload,scope,requests_per_mode,repetitions,ttft_off_mean_ms,ttft_off_rep_sd_ms,ttft_on_mean_ms,ttft_on_rep_sd_ms,ttft_reduction_fraction,paired_reduction_rep_sd,ttft_speedup,mean_cache_hit_fraction_on,quality_pass_rate_off,quality_pass_rate_on,mean_quality_score_off,mean_quality_score_on,length_finish_rate_off,length_finish_rate_on
rag,all,12,3,52.51083026329676,0.08060505000562607,41.270577193548284,0.22605709504108165,0.21405590072349362,0.005068992236219218,1.272355121592669,0.38507960965588084,1.0,1.0,1.0,1.0,0.25,0.25
rag,reuse_eligible,9,3,53.11687383800745,0.13528047405950364,38.027055044141086,0.3163035524458403,0.28408710271403315,0.005064174677400159,1.3968179701623065,0.5134394795411744,1.0,1.0,1.0,1.0,0.0,0.0
rag,cold,3,3,50.6926995391647,0.45045656352990604,51.001143641769886,0.09393626193423177,-0.006084586250272296,0.008471563960454127,0.9939522120372106,0.0,1.0,1.0,1.0,1.0,1.0,1.0
periodic_agent,all,18,3,60.1421152241528,0.19370376820364768,51.90909291721053,0.11287755249607691,0.13689279594269957,0.0012875446868612684,1.158604626747631,0.2898550724637681,0.0,0.0,0.25,0.25,1.0,1.0
periodic_agent,reuse_eligible,15,3,60.151553278168045,0.17989519876110607,50.281199192007385,0.1515013857264453,0.1640914248800138,0.00020769820021752415,1.1963030763938032,0.34782608695652173,0.0,0.0,0.25,0.25,1.0,1.0
periodic_agent,cold,3,3,60.09492495407661,0.433462016885823,60.04856154322624,0.0810012691291427,0.0007715029328316552,0.007633929927585708,1.000772098609173,0.0,0.0,0.0,0.25,0.25,1.0,1.0
chat,all,12,3,43.085720390081406,0.2412565752830502,31.89591543438534,0.28376277403657335,0.25971029042541033,0.010565687259687396,1.3508225051171572,0.3384764408773265,0.5,0.5,0.8875000000000001,0.8875000000000001,0.0,0.0
chat,reuse_eligible,9,3,47.739035036000935,0.3347317985860271,32.824618638389644,0.3489475746487802,0.31241553974360897,0.0120067723436035,1.4543667837215422,0.45130192116976864,0.3333333333333333,0.3333333333333333,0.8500000000000001,0.8500000000000001,0.0,0.0
chat,cold,3,3,29.1257764523228,0.09159215995784178,29.109805822372437,0.08821217200927432,0.0005483331912715267,0.002446551747775607,1.0005486340255176,0.0,1.0,1.0,1.0,1.0,0.0,0.0
